branch_id,mean_z,min_z,max_z,branch_type
0,151.5,151,152,trachea
1,170.5,152,189,trachea
2,178.5,176,181,trachea
3,189.0,179,199,bronchi
4,186.3,182,190,trachea
5,188.1578947368421,186,191,trachea
6,188.5,187,190,trachea
7,192.5,189,196,bronchi
8,198.42105263157896,190,206,bronchi
9,205.11111111111111,193,218,bronchi
10,195.27272727272728,194,197,bronchi
11,197.0,195,199,bronchi
12,206.5,195,218,bronchi
13,200.23076923076923,196,206,bronchi
14,210.5,199,222,bronchi
15,214.27777777777777,206,222,bronchi
16,217.8,209,227,bronchi
17,214.5,209,220,bronchi
18,217.77777777777777,215,221,bronchi
19,218.8,218,220,bronchi
20,227.0,218,236,bronchi
21,220.6,220,221,bronchi
22,221.5,220,222,bronchi
23,227.66666666666666,220,236,bronchi
24,222.0,221,223,bronchi
25,224.77777777777777,221,228,bronchi
26,225.5,222,229,bronchi
27,228.0,227,229,bronchi
28,229.44444444444446,227,233,bronchi
29,233.04545454545453,229,239,bronchi
30,229.36363636363637,229,231,bronchi
31,234.0,229,239,bronchi
32,233.26666666666668,231,235,bronchi
33,232.7,231,234,bronchi
34,248.3409090909091,232,266,bronchi
35,244.27777777777777,236,251,bronchi
36,255.0,239,271,bronchi
37,249.375,246,252,bronchi
38,256.7142857142857,251,263,bronchi
39,251.3125,250,252,bronchi
40,255.54545454545453,252,258,bronchi
41,256.75,256,258,bronchi
42,265.37931034482756,259,271,bronchi
43,279.6521739130435,263,308,bronchi
44,265.1,263,266,bronchi
45,267.5,266,269,bronchi
46,270.0625,268,272,bronchi
47,279.0,269,289,bronchi
48,270.0,270,270,bronchi
49,270.5,270,271,bronchi
50,272.0,270,274,bronchi
51,270.0,270,270,bronchi
52,270.5,270,271,bronchi
53,270.0,270,270,bronchi
54,272.1666666666667,270,274,bronchi
55,270.3333333333333,270,271,bronchi
56,270.5,270,271,bronchi
57,271.6,271,272,bronchi
58,276.8235294117647,271,283,bronchi
59,271.0,271,271,bronchi
60,272.2857142857143,271,274,bronchi
61,272.6,271,274,bronchi
62,271.5,271,272,bronchi
63,272.5,271,274,bronchi
64,288.22727272727275,271,308,bronchi
65,271.3333333333333,271,272,bronchi
66,271.5,271,272,bronchi
67,272.25,272,273,bronchi
68,273.2,272,274,bronchi
69,273.46153846153845,272,275,bronchi
70,272.75,272,274,bronchi
71,273.0,272,274,bronchi
72,274.0,274,274,bronchi
73,274.5,274,275,bronchi
74,280.3333333333333,275,287,bronchi
75,275.0,275,275,bronchi
76,282.0,282,282,bronchi
77,285.625,282,290,bronchi
78,285.5,283,288,bronchi
79,287.85714285714283,284,293,bronchi
80,291.72727272727275,287,296,bronchi
81,292.0,287,297,bronchi
82,293.09090909090907,289,298,bronchi
83,308.5,289,328,bronchi
84,290.5,290,291,bronchi
85,290.0,290,290,bronchi
86,295.0,290,300,bronchi
87,293.2352941176471,292,296,bronchi
88,296.3333333333333,293,299,bronchi
89,296.0,296,296,bronchi
90,297.0769230769231,296,298,bronchi
91,300.5,296,305,bronchi
92,298.53333333333336,297,299,bronchi
93,302.5,297,308,bronchi
94,299.90909090909093,298,302,bronchi
95,301.5,298,305,bronchi
96,308.5,305,312,bronchi
97,313.0,305,321,bronchi
98,343.5,308,379,bronchi
99,308.3333333333333,308,309,bronchi
100,310.0,308,312,bronchi
101,314.0,311,317,bronchi
102,312.0,312,312,bronchi
103,317.5,316,319,bronchi
104,383.2608695652174,378,388,bronchi
105,380.0,379,381,bronchi
106,382.5,381,384,bronchi
107,385.6666666666667,381,389,bronchi
108,382.125,381,384,bronchi
109,384.0,384,384,bronchi
110,386.5,384,389,bronchi
111,388.5,388,389,bronchi
112,390.0,389,391,bronchi
113,391.3333333333333,391,392,bronchi
114,392.0,391,393,bronchi
115,391.375,391,392,bronchi
116,396.05555555555554,392,400,bronchi
117,392.0,391,393,bronchi
118,393.5,393,394,bronchi
119,394.75,394,396,bronchi
120,397.77777777777777,394,399,bronchi
121,397.0,396,398,bronchi
122,396.5,396,397,bronchi
123,396.0,396,396,bronchi
124,396.0,396,396,bronchi
125,396.5,396,397,bronchi
126,397.0,397,397,bronchi
127,397.6666666666667,397,398,bronchi
128,397.5,397,398,bronchi
129,397.75,397,398,bronchi
130,397.0,397,397,bronchi
131,397.0,397,397,bronchi
132,397.5,397,398,bronchi
133,397.5,397,398,bronchi
134,397.0,397,397,bronchi
135,397.0,397,397,bronchi
136,397.6666666666667,397,398,bronchi
137,397.5,397,398,bronchi
138,397.2,397,398,bronchi
139,398.0,398,398,bronchi
140,398.5,398,399,bronchi
141,398.3333333333333,398,399,bronchi
142,398.0,398,398,bronchi
143,398.0,398,398,bronchi
144,398.6666666666667,398,399,bronchi
145,399.4,398,400,bronchi
146,398.3333333333333,398,399,bronchi
