component_id,voxel_count,volume_mm3,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x,extent_z_mm,extent_y_mm,extent_x_mm
1,49521,21052.003857035605,276.39704367843945,155.05696573170977,197.35229498596556,151,93,101,329,205,299,124.59999787807465,87.28126335144043,154.30080485343933
10,14,5.951577189444851,290.5,101.71428571428571,275.42857142857144,290,100,275,291,103,276,0.699999988079071,2.3378909826278687,0.7792969942092896
3,9,3.8260139075002613,179.33333333333334,144.11111111111111,110.77777777777777,176,143,109,182,145,113,4.199999928474426,1.558593988418579,3.117187976837158
7,8,3.4009012511113434,256.75,112.0,301.875,256,110,301,258,114,303,1.399999976158142,3.117187976837158,1.558593988418579
11,7,2.9757885947224256,314.0,165.28571428571428,269.0,311,165,269,317,166,269,4.199999928474426,0.7792969942092896,0.0
13,6,2.550675938333508,316.6666666666667,165.0,130.16666666666666,315,164,130,319,166,131,2.799999952316284,1.558593988418579,0.7792969942092896
12,4,1.7004506255556717,312.0,169.0,123.5,312,168,123,312,170,124,0.0,1.558593988418579,0.7792969942092896
2,2,0.8502253127778359,151.5,183.5,128.0,151,183,128,152,184,128,0.699999988079071,0.7792969942092896,0.0
9,2,0.8502253127778359,282.0,92.5,139.0,282,92,139,282,93,139,0.0,0.7792969942092896,0.0
5,1,0.42511265638891793,193.0,175.0,138.0,193,175,138,193,175,138,0.0,0.0,0.0
4,1,0.42511265638891793,183.0,149.0,106.0,183,149,106,183,149,106,0.0,0.0,0.0
8,1,0.42511265638891793,256.0,162.0,269.0,256,162,269,256,162,269,0.0,0.0,0.0
6,1,0.42511265638891793,219.0,119.0,115.0,219,119,115,219,119,115,0.0,0.0,0.0
