node_id,position,degree,num_branches,z,y,x
45,[196 162 134],3,3,196,162,134
65,[199 147 146],3,3,199,147,146
102,[206 154 136],3,3,206,154,136
184,[218 189 273],3,3,218,189,273
205,[220 177 290],3,3,220,177,290
206,[220 178 281],3,3,220,178,281
208,[221 111 134],3,3,221,111,134
227,[222 152 145],3,3,222,152,145
262,[227 128 139],3,3,227,128,139
285,[229 131 139],3,3,229,131,139
292,[229 153 148],3,3,229,153,148
322,[231 163 143],3,3,231,163,143
381,[236 177 270],3,3,236,177,270
392,[239 149 154],3,3,239,149,154
442,[251 175 262],3,3,251,175,262
464,[252 190 264],3,3,252,190,264
523,[263 164 254],3,3,263,164,254
550,[266 161 263],3,3,266,161,263
584,[269 161 265],3,3,269,161,265
591,[270 148 162],3,3,270,148,162
592,[270 149 162],3,3,270,149,162
593,[270 149 163],3,3,270,149,163
595,[270 150 163],3,3,270,150,163
605,[271 144 279],3,3,271,144,279
607,[271 147 161],4,4,271,147,161
608,[271 147 162],3,3,271,147,162
615,[271 150 165],3,3,271,150,165
617,[271 151 163],3,3,271,151,163
628,[272 147 160],3,3,272,147,160
633,[272 148 278],3,3,272,148,278
641,[272 151 163],3,3,272,151,163
669,[274 147 160],3,3,274,147,160
688,[275 148 160],3,3,275,148,160
748,[283 131 280],3,3,283,131,280
790,[287 147 146],3,3,287,147,146
812,[289 163 269],3,3,289,163,269
822,[290 116 276],3,3,290,116,276
852,[293 116 137],3,3,293,116,137
892,[296 132 138],3,3,296,132,138
898,[296 138 140],3,3,296,138,140
919,[297 153 136],3,3,297,153,136
935,[298 171 274],3,3,298,171,274
997,[305 139 139],3,3,305,139,139
1018,[308 153 197],3,3,308,153,197
1019,[308 161 130],3,3,308,161,130
1144,[379 135 192],3,3,379,135,192
1160,[381 135 193],3,3,381,135,193
1175,[384 129 193],3,2,384,129,193
1180,[384 132 192],3,3,384,132,192
1198,[388 131 194],3,3,388,131,194
1201,[389 131 193],3,3,389,131,193
1208,[391 131 193],3,3,391,131,193
1218,[392 133 192],3,3,392,133,192
1220,[392 139 197],3,2,392,139,197
1222,[393 130 194],3,3,393,130,194
1228,[394 129 194],3,3,394,129,194
1235,[396 128 192],3,3,396,128,192
1236,[396 129 187],3,3,396,129,187
1243,[397 125 194],4,4,397,125,194
1245,[397 128 186],4,4,397,128,186
1246,[397 128 187],3,3,397,128,187
1251,[397 129 189],3,3,397,129,189
1254,[397 130 186],3,3,397,130,186
1269,[398 125 193],3,3,398,125,193
1277,[398 126 196],3,3,398,126,196
1282,[398 127 186],4,4,398,127,186
1284,[398 127 188],3,3,398,127,188
1286,[398 127 191],3,3,398,127,191
1287,[398 127 192],3,3,398,127,192
1288,[398 128 185],3,3,398,128,185
1292,[398 129 184],3,3,398,129,184
1295,[398 129 190],3,3,398,129,190
1305,[398 131 188],3,3,398,131,188
1308,[398 132 185],3,3,398,132,185
1309,[398 132 186],3,3,398,132,186
1317,[399 124 192],3,3,399,124,192
1321,[399 125 193],3,3,399,125,193
1331,[399 127 191],3,3,399,127,191
1332,[399 127 193],4,4,399,127,193
1343,[399 129 183],3,3,399,129,183
1345,[399 129 193],3,3,399,129,193
1347,[399 130 188],4,4,399,130,188
1363,[400 123 194],3,3,400,123,194
1368,[400 124 195],3,3,400,124,195
1369,[400 124 196],3,3,400,124,196
1381,[400 127 190],4,4,400,127,190
1383,[400 127 199],3,3,400,127,199
1396,[400 129 193],3,3,400,129,193
1399,[400 130 192],3,3,400,130,192
1402,[400 131 188],3,3,400,131,188
1407,[400 132 189],3,3,400,132,189
1412,[401 122 192],4,4,401,122,192
1413,[401 122 193],3,3,401,122,193
1420,[401 123 193],3,3,401,123,193
1427,[401 125 195],3,3,401,125,195
1435,[401 127 189],4,4,401,127,189
1436,[401 127 193],4,4,401,127,193
1438,[401 127 200],3,3,401,127,200
1440,[401 128 186],3,3,401,128,186
1444,[401 128 200],3,3,401,128,200
1447,[401 129 185],3,3,401,129,185
1448,[401 129 186],3,3,401,129,186
1451,[401 129 194],3,3,401,129,194
1452,[401 129 195],3,3,401,129,195
1472,[402 121 194],3,3,402,121,194
1475,[402 122 187],4,4,402,122,187
1476,[402 122 188],3,3,402,122,188
1480,[402 122 197],3,3,402,122,197
1483,[402 123 192],3,3,402,123,192
1487,[402 124 192],3,3,402,124,192
1488,[402 124 198],4,4,402,124,198
1491,[402 125 192],3,3,402,125,192
1493,[402 125 198],3,3,402,125,198
1495,[402 126 192],3,3,402,126,192
1504,[402 128 193],3,3,402,128,193
1517,[402 130 196],3,3,402,130,196
1518,[402 130 197],3,3,402,130,197
1519,[402 130 198],3,3,402,130,198
1522,[402 131 191],4,4,402,131,191
1527,[402 133 189],3,3,402,133,189
1530,[402 138 197],3,3,402,138,197
1531,[403 116 191],4,4,403,116,191
1533,[403 117 190],3,3,403,117,190
1534,[403 117 191],3,3,403,117,191
1540,[403 120 194],3,3,403,120,194
1541,[403 120 195],3,3,403,120,195
1543,[403 121 187],3,3,403,121,187
1544,[403 121 188],3,3,403,121,188
1547,[403 121 193],3,3,403,121,193
1548,[403 121 197],3,3,403,121,197
1549,[403 121 198],3,3,403,121,198
1550,[403 121 199],3,3,403,121,199
1551,[403 122 186],3,3,403,122,186
1552,[403 122 190],3,3,403,122,190
1554,[403 122 197],3,3,403,122,197
1556,[403 123 186],3,3,403,123,186
1557,[403 123 188],3,3,403,123,188
1562,[403 123 200],3,3,403,123,200
1567,[403 125 187],3,3,403,125,187
1570,[403 126 187],3,3,403,126,187
1573,[403 126 198],3,3,403,126,198
1574,[403 126 199],3,3,403,126,199
1575,[403 127 187],3,3,403,127,187
1580,[403 128 187],4,4,403,128,187
1607,[404 115 191],3,3,404,115,191
1609,[404 115 193],3,3,404,115,193
1611,[404 116 193],3,3,404,116,193
1613,[404 117 193],3,3,404,117,193
1617,[404 119 191],3,3,404,119,191
1622,[404 120 198],3,3,404,120,198
1638,[404 123 191],3,3,404,123,191
1640,[404 123 201],3,3,404,123,201
1643,[404 124 191],3,3,404,124,191
1648,[404 125 199],3,3,404,125,199
1658,[404 127 196],4,4,404,127,196
1659,[404 127 197],3,3,404,127,197
1660,[404 127 198],4,4,404,127,198
1665,[404 128 192],3,3,404,128,192
